cbsa10,FIPS state,placefp14,county,2010 Tract,State Postal Code,cntyname,placefp,placenm,Place Name 2014,2010 CBSA Name,"Total Pop, 2010 census",cbsa10 to tract alloc factor
12060,13,4000,13121,119,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2934,0.001
12060,13,4000,13121,120,GA,Fulton GA, , ,"Atlanta city, GA","Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",2918,0.001
12420,48,5000,48209,109.01,TX,Hays TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2,0
12420,48,5000,48453,1.01,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3611,0.002
12420,48,5000,48453,1.02,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2552,0.001
12420,48,5000,48453,2.03,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",1546,0.001
12420,48,5000,48453,2.04,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3009,0.002
12420,48,5000,48453,2.05,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3394,0.002
12420,48,5000,48453,2.06,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2687,0.002
12420,48,5000,48453,3.02,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",4939,0.003
12420,48,5000,48453,3.04,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3045,0.002
12420,48,5000,48453,3.05,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3223,0.002
12420,48,5000,48453,3.06,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2697,0.002
12420,48,5000,48453,3.07,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",1707,0.001
12420,48,5000,48453,4.01,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3574,0.002
12420,48,5000,48453,4.02,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2606,0.002
12420,48,5000,48453,5,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",4518,0.003
12420,48,5000,48453,6.01,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",9207,0.005
12420,48,5000,48453,6.03,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",7793,0.005
12420,48,5000,48453,6.04,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",6496,0.004
12420,48,5000,48453,7,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",1339,0.001
12420,48,5000,48453,8.01,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",1498,0.001
12420,48,5000,48453,8.02,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3067,0.002
12420,48,5000,48453,8.03,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2429,0.001
12420,48,5000,48453,8.04,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2295,0.001
12420,48,5000,48453,9.01,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",2027,0.001
12420,48,5000,48453,9.02,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",5413,0.003
12420,48,5000,48453,10,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3656,0.002
12420,48,5000,48453,11,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",5512,0.003
12420,48,5000,48453,12,TX,Travis TX, , ,"Austin city, TX","Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",3836,0.002
